                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.55576,                0.30787,                0.92144,                0.98594,                0.98949,                 0.9944,                0.89628,                0.52282,                0.23421,                0.86059,              0.0012654,              0.0012654,              0.0012654
                     76,                0.54673,                0.30171,                0.91557,                0.97627,                0.99626,                0.99372,                0.89691,                0.52998,                0.23652,                0.87073,              0.0012599,              0.0012599,              0.0012599
                     77,                0.55981,                0.30762,                0.91966,                 0.9768,                0.99215,                 0.9941,                 0.8919,                0.52762,                0.24302,                0.85929,              0.0012544,              0.0012544,              0.0012544
                     78,                0.55651,                 0.3127,                0.92092,                0.98883,                 0.9865,                0.99414,                0.89555,                0.52267,                0.23838,                0.86037,              0.0012489,              0.0012489,              0.0012489
                     79,                0.55785,                0.30975,                0.91847,                0.98299,                 0.9888,                0.99444,                0.89578,                0.52369,                0.24029,                 0.8562,              0.0012434,              0.0012434,              0.0012434
                     80,                0.55023,                0.30455,                0.91594,                 0.9784,                0.99346,                0.99442,                0.89118,                0.52918,                0.24102,                0.86165,              0.0012379,              0.0012379,              0.0012379
                     81,                0.54821,                0.30875,                0.91654,                 0.9751,                0.99589,                 0.9944,                0.89212,                0.52112,                0.23942,                0.86043,              0.0012324,              0.0012324,              0.0012324
                     82,                0.54946,                0.30576,                0.91321,                0.98498,                0.99027,                0.99385,                  0.894,                0.52644,                 0.2403,                0.86255,              0.0012269,              0.0012269,              0.0012269
                     83,                0.54337,                 0.3034,                0.91643,                0.97849,                0.99127,                0.99425,                0.89191,                0.52531,                0.24577,                0.86642,              0.0012214,              0.0012214,              0.0012214
                     84,                0.53482,                0.30435,                0.91071,                0.97912,                0.98903,                0.99348,                 0.8895,                0.53215,                0.24062,                0.86845,              0.0012159,              0.0012159,              0.0012159
                     85,                0.53938,                0.30534,                0.91545,                0.98132,                0.99067,                 0.9942,                0.88545,                0.55264,                  0.242,                0.88677,              0.0012104,              0.0012104,              0.0012104
                     86,                0.54753,                0.30642,                0.92087,                0.98622,                0.98876,                0.99428,                0.89168,                0.54297,                0.23641,                 0.8802,              0.0012049,              0.0012049,              0.0012049
                     87,                0.53982,                0.29557,                0.91238,                 0.9767,                0.99289,                0.99308,                0.89371,                0.52542,                0.23869,                0.86157,              0.0011994,              0.0011994,              0.0011994
                     88,                0.53587,                0.29745,                0.91106,                0.98184,                0.99346,                 0.9945,                0.89602,                 0.5201,                0.23815,                0.86341,              0.0011939,              0.0011939,              0.0011939
                     89,                0.54334,                0.30065,                 0.9134,                0.98527,                0.98974,                0.99413,                0.89541,                0.54234,                0.23457,                0.87295,              0.0011884,              0.0011884,              0.0011884
                     90,                0.53399,                0.29305,                0.91041,                0.98351,                0.99276,                0.99454,                0.89981,                0.51789,                0.23299,                0.85836,              0.0011829,              0.0011829,              0.0011829
                     91,                0.53979,                0.29868,                0.91195,                0.98244,                0.98817,                0.99365,                0.89436,                0.52414,                0.23449,                0.86734,              0.0011774,              0.0011774,              0.0011774
                     92,                0.54162,                0.29872,                0.90966,                0.97705,                0.99626,                0.99423,                0.89945,                0.52281,                0.23104,                 0.8625,              0.0011719,              0.0011719,              0.0011719
                     93,                0.52866,                0.28932,                0.90792,                0.98341,                0.98948,                0.99429,                0.89843,                0.52615,                0.22931,                 0.8646,              0.0011664,              0.0011664,              0.0011664
                     94,                0.54016,                0.29567,                0.91118,                0.98594,                0.99407,                0.99401,                0.88858,                0.52772,                0.23161,                0.86157,              0.0011609,              0.0011609,              0.0011609
                     95,                0.52776,                0.29608,                0.90919,                0.98413,                0.99225,                0.99447,                0.89642,                0.53058,                0.23121,                0.86786,              0.0011554,              0.0011554,              0.0011554
                     96,                0.53494,                 0.3001,                 0.9075,                 0.9856,                0.99027,                0.99453,                0.89805,                0.52922,                0.23612,                 0.8673,              0.0011499,              0.0011499,              0.0011499
                     97,                0.52528,                0.28773,                0.90836,                0.98568,                0.98786,                 0.9945,                0.90178,                0.52507,                0.22676,                0.86745,              0.0011444,              0.0011444,              0.0011444
                     98,                0.52261,                0.29051,                0.90711,                0.98449,                0.98883,                0.99436,                0.90101,                0.52202,                0.22587,                0.85801,              0.0011389,              0.0011389,              0.0011389
                     99,                0.52599,                0.29084,                0.91051,                0.98363,                0.99288,                0.99423,                0.89211,                0.52238,                0.23019,                 0.8649,              0.0011334,              0.0011334,              0.0011334
                    100,                0.52666,                0.28853,                0.90467,                0.98844,                0.98502,                0.99416,                0.89877,                0.52011,                0.22576,                 0.8613,              0.0011279,              0.0011279,              0.0011279
                    101,                0.52378,                0.28707,                 0.9028,                0.98158,                0.99041,                0.99419,                0.89938,                0.52414,                0.23237,                0.86649,              0.0011224,              0.0011224,              0.0011224
                    102,                0.52768,                   0.29,                0.90867,                0.98199,                0.99106,                0.99454,                0.89277,                0.51985,                0.23002,                0.86163,              0.0011169,              0.0011169,              0.0011169
                    103,                0.52352,                0.28467,                  0.905,                0.98785,                0.98866,                0.99408,                0.90351,                0.51306,                 0.2221,                0.86514,              0.0011114,              0.0011114,              0.0011114
                    104,                0.51974,                0.28701,                0.89971,                0.98843,                0.98507,                0.99385,                0.89544,                0.52328,                0.22779,                0.86569,              0.0011059,              0.0011059,              0.0011059
                    105,                 0.5248,                0.28675,                 0.9092,                0.99016,                0.98381,                0.99437,                0.90434,                0.50909,                0.22375,                0.86054,              0.0011004,              0.0011004,              0.0011004
                    106,                0.51113,                0.28154,                0.90325,                  0.988,                0.98637,                0.99433,                0.90237,                0.50379,                0.22232,                0.85551,              0.0010949,              0.0010949,              0.0010949
                    107,                0.51818,                0.28583,                0.90151,                0.98888,                0.98626,                0.99427,                0.90236,                0.50879,                0.22092,                0.85687,              0.0010894,              0.0010894,              0.0010894
                    108,                0.52225,                0.28484,                0.90937,                0.98465,                0.98968,                0.99432,                 0.8998,                0.51062,                0.21965,                0.85667,              0.0010839,              0.0010839,              0.0010839
                    109,                0.52134,                0.28455,                0.90889,                0.97829,                0.99751,                0.99452,                0.90037,                0.50973,                0.22208,                0.86018,              0.0010784,              0.0010784,              0.0010784
                    110,                0.51848,                0.28216,                0.91043,                0.97972,                0.99543,                 0.9945,                0.89647,                 0.5223,                0.22204,                0.86832,              0.0010729,              0.0010729,              0.0010729
                    111,                0.51241,                0.28429,                0.90532,                0.98278,                0.99232,                0.99409,                0.90279,                0.51445,                  0.219,                 0.8606,              0.0010674,              0.0010674,              0.0010674
                    112,                0.51942,                 0.2857,                0.90668,                0.98668,                  0.986,                0.99403,                0.90039,                0.51798,                0.22465,                0.86287,              0.0010619,              0.0010619,              0.0010619
                    113,                0.50502,                0.27874,                0.90003,                0.98724,                0.98975,                 0.9944,                 0.8981,                0.50718,                0.21709,                0.85948,              0.0010564,              0.0010564,              0.0010564
                    114,                0.50612,                0.27616,                0.89854,                0.98572,                0.98991,                0.99442,                0.89739,                 0.5024,                0.21633,                0.85687,              0.0010509,              0.0010509,              0.0010509
                    115,                0.51825,                0.28413,                0.90042,                0.98179,                0.99241,                0.99385,                0.89729,                0.51731,                0.22211,                0.86461,              0.0010454,              0.0010454,              0.0010454
                    116,                0.50706,                0.27518,                 0.9001,                0.98529,                0.98855,                0.99439,                0.90409,                0.49661,                0.21641,                0.85602,              0.0010399,              0.0010399,              0.0010399
                    117,                 0.5079,                0.27986,                 0.9034,                0.97481,                0.99655,                0.99399,                0.89842,                0.51039,                0.22555,                0.86484,              0.0010344,              0.0010344,              0.0010344
